,date,a,b,c,d,p
589,2016/06/01,1.943615697811810,1.216373614957640,1.2478208531004800,1.2607297189296300,1.5474510286130600
590,2016/06/02,1.93887901938598,1.2163788994125700,1.2439140274190000,1.2656086145682600,1.545692868366780
591,2016/06/03,1.9394500390732200,1.2177272783451500,1.2406057442924400,1.2771102044403200,1.5473036647625500
592,2016/06/06,1.9522919089703000,1.2211773293734800,1.2421215216970600,1.280927645107170,1.5541928525704300
593,2016/06/07,1.9532707499581200,1.2189557562498600,1.2405560106419600,1.2812750995497100,1.5534530939786900
594,2016/06/08,1.947764823469720,1.221305947783330,1.2361919196470000,1.2981040141136800,1.5536773706712800
595,2016/06/13,1.964016214991940,1.2277703368746300,1.241761449555740,1.2962432466981400,1.5630657620965400
596,2016/06/14,1.922093818760660,1.2229458069779300,1.2400703909588000,1.2893772983376100,1.5444749811536300
597,2016/06/15,1.9196510702740500,1.2299674746541800,1.2377646801601900,1.2861278079559900,1.5458565974981800
598,2016/06/16,1.9140538534775200,1.2164976178796500,1.2371237867851200,1.2831686728793900,1.5377211184990700
599,2016/06/17,1.9144746139112800,1.2224744398414400,1.2389543783068800,1.2883120598329800,1.5412026041160300
600,2016/06/20,1.9059028974081800,1.2299648941696300,1.2474229125874500,1.2888969690234200,1.542338233626960
601,2016/06/21,1.9086819635752300,1.2274972311726700,1.2433015441356,1.2806046314002900,1.5409161710382200
602,2016/06/22,1.948535033074720,1.2337725225128100,1.2533230233635800,1.2823310947971600,1.5602615091402000
603,2016/06/23,1.9529663664519300,1.229337735449590,1.2568042649584700,1.282736215002210,1.5606248236972200
604,2016/06/24,1.9445860538322800,1.218088120128360,1.2532689104811700,1.2803345870333400,1.5520415486902700
605,2016/06/27,2.05034586916635,1.2222048886495000,1.2661012240836700,1.2860227407652000,1.5967377605255100
606,2016/06/28,2.0553482897908000,1.2351116270185500,1.2783379609070700,1.3087006663416000,1.6082282213844700
607,2016/06/29,2.0327822703501700,1.2369819394968300,1.2754973220956700,1.3069199565147000,1.6000164909146200
608,2016/06/30,2.100678974579110,1.248877360350290,1.2832880755626300,1.3144838696115700,1.632645287913640
609,2016/07/01,2.0946053364139000,1.2820066150641100,1.2845085256242500,1.3257399105436000,1.6459819206530400
610,2016/07/04,2.155829456002380,1.3281130118278700,1.3052691188552900,1.3532640977696300,1.6941951482708100
611,2016/07/05,2.1160493845207500,1.3135337503219300,1.2836693607892200,1.3344922427510200,1.6682020334454900
612,2016/07/06,2.08303032213007,1.2743464849347300,1.278444872042660,1.3126572697169900,1.6363437322772500
613,2016/07/07,2.0991597436988300,1.2790588020238400,1.2731297931544200,1.311670874575680,1.6434647533854300
614,2016/07/08,2.1275343106374800,1.2801880912904700,1.2710052656301100,1.3086504055841800,1.6538654435746500
615,2016/07/11,2.102189741689870,1.297440486660680,1.2681074539605000,1.3044413630426600,1.6512746734988300
616,2016/07/12,2.1966404334704300,1.3133219121862000,1.2682085569389600,1.3026852129662100,1.6929697927015100
617,2016/07/13,2.188334225127190,1.3104048929515900,1.2640130099609200,1.3073290259871400,1.6886239645125700
618,2016/07/14,2.1799595543821000,1.3136964793688600,1.2601482467031100,1.310175439019630,1.6867526877951600
619,2016/07/15,2.190908553615030,1.3188003505777200,1.2595256961970100,1.3030495354992300,1.6920483361246100
620,2016/07/18,2.0981471488329500,1.3017306424941300,1.2636452847418700,1.3048168794999400,1.6525513421404000
621,2016/07/19,2.090724112511250,1.3038420117503600,1.26140577550537,1.3001033129297400,1.6498773186906300
622,2016/07/20,2.0909631770187200,1.3009485867819900,1.2603733963183400,1.302328891102560,1.648848852948050
623,2016/07/21,2.1083261243546400,1.3135382875222300,1.257689817866490,1.3014274779138800,1.660013344371960
624,2016/07/22,2.093578408280200,1.3055905832679100,1.2578461144997500,1.3041036699234600,1.6516440117361700
625,2016/07/25,2.1152334360516200,1.304236921401510,1.2562251878708100,1.3083905393055200,1.6594120718844400
626,2016/07/26,2.1155376420514300,1.302427277879590,1.2569559857086000,1.3071332950638700,1.658732612178270
627,2016/07/27,2.154042868082030,1.3091083852801100,1.2548852410895600,1.3015644495918200,1.674984951839460
628,2016/07/28,2.181826660123710,1.31023597839672,1.2575240666772900,1.307597347706710,1.6868807556546000
629,2016/07/29,2.1366260176625500,1.3030975584803600,1.2646895916523700,1.308131250284040,1.6683993384210600
630,2016/08/01,2.2001857179727600,1.3061795610011000,1.2636131066055300,1.2974456294039500,1.6920233121706200
631,2016/08/02,2.2185130437541600,1.3127605169944200,1.2628364155918000,1.294326369491830,1.7010838592537500
632,2016/08/03,2.205537862800350,1.3016678673809300,1.262493910435910,1.2992734849105900,1.692174089328540
