index,,mac16,mac2,mac32,mac4,mac8
2020-08-23,mac2,0.09796810116742402,1.0,0.6770638566820898,0.94728055733688,0.7851976844615939
2020-08-23,mac32,-0.3316095375526107,0.6770638566820898,1.0,0.5671420613673732,0.2910644048772033
2020-08-23,mac4,0.2246104064656616,0.94728055733688,0.5671420613673732,1.0,0.879709313591338
2020-08-23,mac8,0.535381152009628,0.7851976844615939,0.2910644048772033,0.879709313591338,1.0
2020-08-30,mac16,1.0,0.09624504387419813,-0.33204207458579177,0.22221767818647795,0.5316138581562109
2020-08-30,mac2,0.09624504387419813,1.0,0.6771375296019811,0.9474130882564994,0.7859014815660911
2020-08-30,mac32,-0.33204207458579177,0.6771375296019811,1.0,0.5672948971937245,0.2918894613241145
2020-08-30,mac4,0.22221767818647795,0.9474130882564994,0.5672948971937245,1.0,0.8802422400268766
2020-08-30,mac8,0.5316138581562109,0.7859014815660911,0.2918894613241145,0.8802422400268766,1.0
2020-09-06,mac16,1.0,0.19612108248765,0.0722783014858575,0.21349549819585067,0.3834526100048168
2020-09-06,mac2,0.19612108248765,1.0,0.6816430480236212,0.9426032268770824,0.7722547816631321
2020-09-06,mac32,0.0722783014858575,0.6816430480236212,1.0,0.5459331156798283,0.2647483361540484
2020-09-06,mac4,0.21349549819585067,0.9426032268770824,0.5459331156798283,1.0,0.8775565184161832
2020-09-06,mac8,0.3834526100048168,0.7722547816631321,0.2647483361540484,0.8775565184161832,1.0
2020-09-13,mac16,1.0,0.19415438076087238,0.07199112130963999,0.21067394457680125,0.38023187044150636
2020-09-13,mac2,0.19415438076087238,1.0,0.6809992321746461,0.9426835011809074,0.7731668857501853
2020-09-13,mac32,0.07199112130963999,0.6809992321746461,1.0,0.5449761354668138,0.26472057123678366
2020-09-13,mac4,0.21067394457680125,0.9426835011809074,0.5449761354668138,1.0,0.8782829544880563
2020-09-13,mac8,0.38023187044150636,0.7731668857501853,0.26472057123678366,0.8782829544880563,1.0
2020-09-20,mac16,1.0,0.19412283424370408,0.0729127630656381,0.20647861233479686,0.3678818308398061
2020-09-20,mac2,0.19412283424370408,1.0,0.679850352340743,0.9346472676323829,0.7559267287116151
2020-09-20,mac32,0.0729127630656381,0.679850352340743,1.0,0.5318508118024796,0.24618338752872682
2020-09-20,mac4,0.20647861233479686,0.9346472676323829,0.5318508118024796,1.0,0.8787396734547107
2020-09-20,mac8,0.3678818308398061,0.7559267287116151,0.24618338752872682,0.8787396734547107,1.0
2020-09-27,mac16,1.0,0.18742843893718827,0.06988156767996974,0.19997424117421886,0.3662175836549688
2020-09-27,mac2,0.18742843893718827,1.0,0.6806746787554803,0.9352455879425263,0.7539723515746594
2020-09-27,mac32,0.06988156767996974,0.6806746787554803,1.0,0.5335782664977206,0.2467608672359214
2020-09-27,mac4,0.19997424117421886,0.9352455879425263,0.5335782664977206,1.0,0.8764096645526922
2020-09-27,mac8,0.3662175836549688,0.7539723515746594,0.2467608672359214,0.8764096645526922,1.0
2020-10-04,mac16,1.0,0.1820030767622332,0.0670555764091317,0.19564291831080832,0.36279008878351904
2020-10-04,mac2,0.1820030767622332,1.0,0.6812921402383508,0.9353993512281253,0.7542067973451047
2020-10-04,mac32,0.0670555764091317,0.6812921402383508,1.0,0.5345887516988638,0.24792049827068757
2020-10-04,mac4,0.19564291831080832,0.9353993512281253,0.5345887516988638,1.0,0.8765201525941668
2020-10-04,mac8,0.36279008878351904,0.7542067973451047,0.24792049827068757,0.8765201525941668,1.0
2020-10-11,mac16,1.0,0.1812036387018104,0.059896804580907174,0.1956782588895751,0.35765155523871606
2020-10-11,mac2,0.1812036387018104,1.0,0.6805763742064573,0.935411385515462,0.7542866102625306
2020-10-11,mac32,0.059896804580907174,0.6805763742064573,1.0,0.5337512759013302,0.24735034072028117
2020-10-11,mac4,0.1956782588895751,0.935411385515462,0.5337512759013302,1.0,0.8765669193875731
2020-10-11,mac8,0.35765155523871606,0.7542866102625306,0.24735034072028117,0.8765669193875731,1.0
2020-10-18,mac16,1.0,0.18040270433434466,0.05958167199433243,0.19482025128291722,0.3571442783173055
2020-10-18,mac2,0.18040270433434466,1.0,0.680640614414159,0.9355031831263245,0.7543860014897825
2020-10-18,mac32,0.05958167199433243,0.680640614414159,1.0,0.5339320433180879,0.24762071173008104
2020-10-18,mac4,0.19482025128291722,0.9355031831263245,0.5339320433180879,1.0,0.8765326239336183
2020-10-18,mac8,0.3571442783173055,0.7543860014897825,0.24762071173008104,0.8765326239336183,1.0
2020-10-25,mac16,1.0,0.20794133211803092,0.08766552639940876,0.23951891336324432,0.40288754976587826
2020-10-25,mac2,0.20794133211803092,1.0,0.6880884347382962,0.9326924747053792,0.7478101596806989
2020-10-25,mac32,0.08766552639940876,0.6880884347382962,1.0,0.5478078525762617,0.2824582479543399
2020-10-25,mac4,0.23951891336324432,0.9326924747053792,0.5478078525762617,1.0,0.8818659651138657
2020-10-25,mac8,0.40288754976587826,0.7478101596806989,0.2824582479543399,0.8818659651138657,1.0
2020-11-01,mac16,1.0,0.22556123640374912,0.09766884423601568,0.2704439514322486,0.4351900577487011
2020-11-01,mac2,0.22556123640374912,1.0,0.6887426461229926,0.9321374649171411,0.7484975929028822
2020-11-01,mac32,0.09766884423601568,0.6887426461229926,1.0,0.5481185839951311,0.2860288365935895
2020-11-01,mac4,0.2704439514322486,0.9321374649171411,0.5481185839951311,1.0,0.8844325641327706
