,tr_date,tr_datetime,tr_the_open_price,tr_the_close_price,tr_the_max_price,tr_the_min_price,tr_the_comp_volume,tr_t1,tr_t2,tr_t3,tr_t4,tr_t5,tr_t6,tr_t7,tr_t8,tr_t9,tr_qs1,tr_qs2,tr_qs3,tr_qs4,tr_qs5,tr_qs6,tr_qs7,tr_ups_downs,tr_ups_downs_ratio,tr_nav_of_index,非止损持仓信号,止损引起的空仓期,tr_nav_of_product,tr_operate,tr_operate_flag,tr_state,tr_state_flag,tr_fee,tr_today_close_flag,atr_short,atr50,ma50,pre_trading_sign,cost_price,force_sale_price
595,20160613,2016/06/13 00:00:00,3765.53987602226,3909.813434490564,3910.775258213684,3691.479449341883,,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,144.273558,3.831418,1.038314,True,,0.9458281482195906,0_3673.44928379566,2,1,1,0,0,74.060427,77.737988,3763.11608,False,3792.470940269673,3673.44928379566
596,20160614,2016/06/14 00:00:00,3874.225956735035,3855.951305995737,3893.46243119749,3829.982065471437,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-18.274651,-0.471698,0.995283,True,,0.9404274413156556,0_3761.5154229625014,2,1,1,0,0,113.014287,88.487783,3768.502293,False,3792.470940269673,3761.5154229625014
597,20160615,2016/06/15 00:00:00,3852.104011103231,3709.754100081206,3876.149604181296,3704.944981465589,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,-142.349911,-3.695381,0.963046,True,True,0.9181280744307203,平仓(止损)_3761.5154229625014,3,0,0,0,0,97.384652,85.715467,3772.272642,False,3792.470940269673,3761.5154229625014
598,20160616,2016/06/16 00:00:00,3712.639571250555,3708.792276358084,3731.876045713009,3679.937564664419,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,-3.847295,-0.103627,0.998964,True,True,0.9181280744307203,0_0.0,-1,0,0,0,0,127.201188,93.410057,3776.177646,False,0.0,0.0
599,20160617,2016/06/17 00:00:00,3703.021334019335,3757.845286237301,3767.46352346852,3700.135862849979,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,54.823952,1.480519,1.014805,True,True,0.9181280744307203,0_0.0,-1,0,0,0,0,130.56757,93.014012,3778.697625,False,0.0,0.0
600,20160620,2016/06/20 00:00:00,3738.608811774846,3739.570635497985,3779.005408145983,3709.754100081198,,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0.961824,0.025727,1.000257,True,True,0.9181280744307203,0_0.0,-1,0,0,0,0,92.575534,91.99561,3781.236839,False,0.0,0.0
601,20160621,2016/06/21 00:00:00,3741.494282944212,3668.395679986964,3753.036167621691,3649.159205524518,,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,-73.098603,-1.953728,0.980463,True,True,0.9181280744307203,0_0.0,-1,0,0,0,0,89.930518,90.807475,3782.314082,False,0.0,0.0
602,20160622,2016/06/22 00:00:00,3650.12102924763,3684.746683280036,3693.403096788133,3640.502792016421,,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,34.625654,0.948617,1.009486,True,True,0.9181280744307203,0_0.0,-1,0,0,0,0,73.098603,92.7877,3783.429797,False,0.0,0.0
603,20160623,2016/06/23 00:00:00,3682.823035833775,3666.47203254072,3701.097686573108,3624.151788723348,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,-16.351003,-0.44398,0.99556,False,,0.9181280744307203,0_0.0,-1,0,0,0,0,73.339059,91.542987,3782.448737,False,0.0,0.0
604,20160624,2016/06/24 00:00:00,3659.739266478849,3686.67033072628,3726.105103374277,3656.853795309493,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,26.931064,0.735874,1.007359,False,,0.9181280744307203,0_0.0,-1,0,0,0,0,75.743618,88.261471,3782.025535,False,0.0,0.0
605,20160627,2016/06/27 00:00:00,3712.639571250554,3832.86753664081,3835.753007810175,3712.639571250563,,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,120.227965,3.238342,1.032383,False,,0.9181280744307203,0_0.0,-1,0,0,0,0,75.743618,88.996983,3783.660635,False,0.0,0.0
606,20160628,2016/06/28 00:00:00,3843.447597595134,3887.691488858759,3894.424254920612,3806.89829611651,,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,44.243891,1.151151,1.011512,True,,0.9179444488158341,触发开仓_0.0,1,1,1,0,0,87.045047,92.221922,3786.161377,False,0.0,0.0
607,20160629,2016/06/29 00:00:00,3890.576960028107,3925.202614060513,3980.026566278462,3866.531366950068,,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,34.625654,0.889988,1.0089,True,,0.9286103052050417,0_3768.476376604982,2,1,1,0,0,95.70146,91.090364,3789.585469,False,3890.576960028107,3768.476376604982
